"ID_PLAYER","NM_PLAYER"
"1","Adam"
"2","Adam R"
"3","Andrew"
"4","Andrew D"
"5","Andy"
"6","Balance"
"7","Ben"
"8","Bernie"
"9","Bill"
"10","Brad*"
"11","Brades"
"12","Bryce"
"13","Chris"
"14","Clint"
"15","Colin"
"16","Dave"
"17","Dregs"
"18","Frans"
"19","Grant"
"20","Ian"
"21","Jackso"
"22","Jake"
"23","Jed"
"24","Jess"
"25","Jono"
"26","Jono H"
"27","Josh"
"28","Josh B"
"29","Josh L"
"30","Justin"
"31","Kate"
"32","Kieren"
"33","Kirk"
"34","Lee"
"35","Levi"
"36","Luke B"
"37","Luke H"
"38","Luke I"
"39","Mark"
"40","Mike B"
"41","Mitch"
"42","Paul T"
"43","Paul V"
"44","Pete H"
"45","Pete I"
"46","Richard"
"47","Rob M"
"48","Rob W"
"49","Rowan"
"50","Sarah"
"51","Sean"
"52","Simon"
"53","Stu"
"54","Tip Jar"
"55","Tom"
"56","Trent"
"57","Tyler"
"58","Zack"
"59","Zack 2"
